curve_id,epa_lim,bed_diameter,ds,ebct,flow_rate,freund_k,freund_ninv,inlet_concentration,media,media_mass,media_volume,molar_volume,molecular_weight,particle_density,particle_size,profile_type,regression_flag,source,species,sse,c0,cb
0,10,0.052000000000000005,8.340418237807074e-13,366.0,6e-07,5.802495485831948,0.9127195613491322,9.300000000000001e-08,Calgon F400,0.1,0.00022,0.0001432,0.21404,540.0,0.00065,breakthrough_profile,solved,McCleaf,PFBA,59010060.36309554,9.3e-08,1e-08
1,10,0.052000000000000005,3.866607261208039e-14,366.0,6e-07,7.244541844895623,0.9037956684764452,5.6000000000000005e-08,Calgon F400,0.1,0.00022,0.0001754,0.26405,540.0,0.00065,breakthrough_profile,solved,McCleaf,PFPeA,37533378.165524386,5.6e-08,1e-08
10,10,0.052000000000000005,8.416337401488348e-16,366.0,6e-07,0.19847614334202374,0.584583534685554,7.870000000000001e-08,Calgon F400,0.1,0.00022,0.0003279,0.49915,540.0,0.00065,breakthrough_profile,solved,McCleaf,FOSA,7464058.230594859,,
11,10,0.052000000000000005,1.4455647913161993e-15,366.0,6e-07,0.18558982951731737,0.6043841675403292,1.0600000000000001e-07,Calgon F400,0.1,0.00022,0.0002598,0.40012,540.0,0.00065,breakthrough_profile,solved,McCleaf,PFHxS,23946284.916917935,3e-07,1e-08
12,100,0.052000000000000005,3.1145187499449425e-13,366.0,6e-07,9.678734790737245,0.8980620027160292,8.100000000000001e-08,Calgon F400,0.1,0.00022,0.0001954,0.3001,540.0,0.00065,breakthrough_profile,solved,McCleaf,PFBS,149464232.02341264,3.3e-08,1e-07
13,4,0.052000000000000005,8.493371251388317e-16,366.0,6e-07,0.18860570684041322,0.5781340570282398,9.000000000000001e-08,Calgon F400,0.1,0.00022,0.0003242,0.50013,540.0,0.00065,breakthrough_profile,solved,McCleaf,PFOS,14624431.19425449,1.3e-07,4e-09
14,10,0.055,7.443624155218511e-13,300.0,1.6666666666666667e-06,4.667480646089294,0.9424935619882342,2.5000000000000002e-08,Calgon F400,0.27,0.0005,0.0002076,0.31405,540.0,0.00065,breakthrough_profile,solved,Franke,PFHxA,41162408.404334165,2.5e-08,1e-08
15,4,0.055,4.3133503395755467e-13,300.0,1.6666666666666667e-06,6.5802984211520945,0.9071195272458364,2.2000000000000002e-08,Calgon F400,0.27,0.0005,0.000272,0.41407,540.0,0.00065,breakthrough_profile,solved,Franke,PFOA,58509982.28163112,2.2e-08,4e-09
16,100,0.055,4.403977486708932e-15,300.0,1.6666666666666667e-06,0.009987104021371464,0.5203448613711502,3.3000000000000004e-08,Calgon F400,0.27,0.0005,0.0001954,0.3001,540.0,0.00065,breakthrough_profile,solved,Franke,PFBS,34809736.884147435,3.3e-08,1e-07
17,10,0.055,6.805866330890468e-15,300.0,1.6666666666666667e-06,0.043757684355267175,0.6051113582925658,5.9000000000000006e-08,Calgon F400,0.27,0.0005,0.0002276,0.35011,540.0,0.00065,breakthrough_profile,solved,Franke,PFPeS,30589472.868140962,5.9e-08,1e-08
